"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Selenium Tests","0","","3","0","Women Category Button","0"
"0","Selenium Tests","0","","3","0","Login With Invalid Credentials","0"
"0","Selenium","0","","1","0","Account Creation With Valid Information","0"
"0","Selenium Tests","0","","3","0","Home Button","0"
"0","Selenium Tests","0","","3","0","Contact Us Button","0"
"0","Selenium Tests","0","","1","0","Home Page Title","0"
"0","Selenium Tests","0","","3","0","Signup Button","0"
"0","Selenium Tests","0","","3","0","Cart Button","0"
"0","Selenium","0","","1","0","Correct Navigation to Signup Page","0"
"0","Selenium Tests","0","","1","0","Website Logo","0"
"0","Selenium Tests","0","","1","0","Login With Valid Credentials","0"
"0","API Tests","1","","0","0","Account Creation With Valid Information","0"
"0","Selenium","0","","1","0","Elements of Signup Page are Displayed","0"
